"","DATE","PRCP","Source.PRCP","TMAX","Source.TMAX","TMIN","Source.TMIN"
"57",1962-07-27,0,"Measured",24.4,"Measured",13.3,"Measured"
"58",1962-07-28,12.7,"Measured",21.7,"Measured",13.9,"Measured"
"59",1962-07-29,0,"Measured",25.6,"Measured",13.3,"Measured"
"60",1962-07-30,0,"Measured",25,"Measured",13.9,"Measured"
"61",1962-07-31,0,"Measured",25,"Measured",7.2,"Measured"
"62",1962-08-01,0,"Measured",27.2,"Measured",12.2,"Measured"
"63",1962-08-02,0,"Measured",27.8,"Measured",10.6,"Measured"
"64",1962-08-03,0,"Measured",26.1,"Measured",13.9,"Measured"
"65",1962-08-04,9.1,"Measured",25.6,"Measured",16.1,"Measured"
"66",1962-08-05,0,"Measured",27.2,"Measured",12.8,"Measured"
"67",1962-08-06,0,"Measured",28.9,"Measured",15,"Measured"
"68",1962-08-07,0,"Measured",30,"Measured",15,"Measured"
"69",1962-08-08,0,"Measured",29.4,"Measured",14.4,"Measured"
"70",1962-08-09,0,"Measured",28.3,"Measured",11.1,"Measured"
"71",1962-08-10,0,"Measured",26.1,"Measured",8.9,"Measured"
"72",1962-08-11,0,"Measured",26.7,"Measured",8.9,"Measured"
"73",1962-08-12,0,"Measured",24.4,"Measured",15,"Measured"
"74",1962-08-13,0,"Measured",23.3,"Measured",13.9,"Measured"
"75",1962-08-14,0,"Measured",26.1,"Measured",6.1,"Measured"
"76",1962-08-15,0,"Measured",25,"Measured",8.3,"Measured"
"77",1962-08-16,2.5,"Measured",25.6,"Measured",13.9,"Measured"
"78",1962-08-17,0,"Measured",24.4,"Measured",7.8,"Measured"
"79",1962-08-18,0,"Measured",26.1,"Measured",4.4,"Measured"
"80",1962-08-19,0,"Measured",30.6,"Measured",13.9,"Measured"
"81",1962-08-20,0,"Measured",29.4,"Measured",19.4,"Measured"
"82",1962-08-21,0,"Measured",31.1,"Measured",13.3,"Measured"
"83",1962-08-22,0,"Measured",30.6,"Measured",15.6,"Measured"
"84",1962-08-23,0,"Measured",32.8,"Measured",18.9,"Measured"
"85",1962-08-24,32.8,"Measured",25.6,"Measured",18.9,"Measured"
"86",1962-08-25,0,"Measured",23.9,"Measured",14.4,"Measured"
"87",1962-08-26,0,"Measured",25.6,"Measured",10,"Measured"
"88",1962-08-27,0,"Measured",28.9,"Measured",12.8,"Measured"
"89",1962-08-28,0,"Measured",30.6,"Measured",13.9,"Measured"
"90",1962-08-29,0,"Measured",30.6,"Measured",14.4,"Measured"
"91",1962-08-30,3.8,"Measured",30,"Measured",17.2,"Measured"
"92",1962-08-31,0,"Measured",25.6,"Measured",17.2,"Measured"
"93",1962-09-01,0,"Measured",25.6,"Measured",7.8,"Measured"
"94",1962-09-02,0,"Measured",26.7,"Measured",7.2,"Measured"
"95",1962-09-03,8.4,"Measured",28.9,"Measured",8.3,"Measured"
"96",1962-09-04,0,"Measured",25.6,"Measured",11.7,"Measured"
"97",1962-09-05,0,"Measured",17.2,"Measured",1.7,"Measured"
"98",1962-09-06,0,"Measured",18.9,"Measured",0.6,"Measured"
"99",1962-09-07,0,"Measured",24.4,"Measured",2.2,"Measured"
"100",1962-09-08,0,"Measured",24.4,"Measured",14.4,"Measured"
"101",1962-09-09,12.2,"Measured",20.6,"Measured",14.4,"Measured"
"102",1962-09-10,3.8,"Measured",18.9,"Measured",9.4,"Measured"
"103",1962-09-11,0,"Measured",25,"Measured",6.7,"Measured"
"104",1962-09-12,0,"Measured",30,"Measured",14.4,"Measured"
"105",1962-09-13,2.3,"Measured",29.4,"Measured",19.4,"Measured"
"106",1962-09-14,0,"Measured",25.6,"Measured",8.3,"Measured"
"107",1962-09-15,0.5,"Measured",23.3,"Measured",12.8,"Measured"
"108",1962-09-16,7.4,"Measured",25,"Measured",8.3,"Measured"
"109",1962-09-17,0,"Measured",20.6,"Measured",5,"Measured"
"110",1962-09-18,0,"Measured",21.1,"Measured",8.9,"Measured"
"111",1962-09-19,0,"Measured",19.4,"Measured",11.7,"Measured"
"112",1962-09-20,0,"Measured",14.4,"Measured",-1.1,"Measured"
"113",1962-09-21,4.3,"Measured",14.4,"Measured",-0.6,"Measured"
"114",1962-09-22,1.3,"Measured",16.7,"Measured",3.9,"Measured"
"115",1962-09-23,0,"Measured",18.9,"Measured",1.1,"Measured"
"116",1962-09-24,4.3,"Measured",18.9,"Measured",8.3,"Measured"
"117",1962-09-25,1.5,"Measured",17.2,"Measured",7.8,"Measured"
"118",1962-09-26,0,"Measured",18.3,"Measured",2.8,"Measured"
"119",1962-09-27,0,"Measured",16.1,"Measured",6.7,"Measured"
"120",1962-09-28,0,"Measured",15.6,"Measured",1.7,"Measured"
"121",1962-09-29,0,"Measured",17.8,"Measured",-3.9,"Measured"
"122",1962-09-30,1.3,"Measured",16.1,"Measured",2.8,"Measured"
"123",1962-10-01,3,"Measured",22.2,"Measured",11.1,"Measured"
"124",1962-10-02,0,"Measured",17.8,"Measured",10,"Measured"
"125",1962-10-03,2,"Measured",20,"Measured",11.7,"Measured"
"126",1962-10-04,13.2,"Measured",16.1,"Measured",11.7,"Measured"
"127",1962-10-05,0,"Measured",17.2,"Measured",9.4,"Measured"
"128",1962-10-06,0,"Measured",17.2,"Measured",6.7,"Measured"
"129",1962-10-07,7.4,"Measured",16.7,"Measured",11.7,"Measured"
"130",1962-10-08,8.9,"Measured",15.6,"Measured",12.2,"Measured"
"131",1962-10-09,3.3,"Measured",20,"Measured",8.9,"Measured"
"132",1962-10-10,0,"Measured",27.2,"Measured",7.2,"Measured"
"133",1962-10-11,0,"Measured",26.1,"Measured",16.1,"Measured"
"134",1962-10-12,0,"Measured",22.2,"Measured",11.7,"Measured"
"135",1962-10-13,0,"Measured",25,"Measured",3.3,"Measured"
"136",1962-10-14,0,"Measured",27.2,"Measured",13.9,"Measured"
"137",1962-10-15,0,"Measured",26.1,"Measured",15.6,"Measured"
"138",1962-10-16,4.1,"Measured",22.8,"Measured",3.9,"Measured"
"139",1962-10-17,0,"Measured",16.1,"Measured",2.8,"Measured"
"140",1962-10-18,0,"Measured",18.3,"Measured",6.1,"Measured"
"141",1962-10-19,0,"Measured",22.2,"Measured",2.8,"Measured"
"142",1962-10-20,1.5,"Measured",16.7,"Measured",0,"Gap-Filled"
"143",1962-10-21,0,"Measured",16.7,"Measured",-1.7,"Measured"
"144",1962-10-22,1.3,"Measured",15,"Measured",1.7,"Measured"
"145",1962-10-23,0,"Measured",7.2,"Gap-Filled",-2.2,"Gap-Filled"
"146",1962-10-24,0,"Measured",6.7,"Measured",-3.3,"Measured"
"147",1962-10-25,0.5,"Measured",2.8,"Measured",-5,"Measured"
"148",1962-10-26,0,"Measured",5,"Measured",-8.3,"Measured"
"149",1962-10-27,0,"Measured",16.7,"Measured",-3.9,"Measured"
"150",1962-10-28,0,"Measured",10,"Measured",5,"Measured"
"151",1962-10-29,0,"Measured",10.6,"Measured",-3.3,"Measured"
"152",1962-10-30,0,"Measured",12.8,"Measured",1.1,"Measured"
"153",1962-10-31,0,"Measured",8.9,"Measured",-2.2,"Measured"
"154",1962-11-01,0,"Measured",5.6,"Measured",0,"Measured"
"155",1962-11-02,0.3,"Measured",5,"Measured",-3.9,"Measured"
"156",1962-11-03,1.5,"Measured",3.9,"Measured",-1.1,"Measured"
"157",1962-11-04,3.6,"Measured",1.7,"Measured",-2.8,"Measured"
"158",1962-11-05,0.5,"Measured",3.9,"Measured",-1.7,"Measured"
"159",1962-11-06,0,"Measured",8.9,"Measured",-2.2,"Measured"
"160",1962-11-07,0,"Measured",7.8,"Measured",1.1,"Measured"
"161",1962-11-08,0,"Measured",4.4,"Measured",-1.1,"Measured"
"162",1962-11-09,0,"Measured",6.7,"Measured",-5,"Measured"
"163",1962-11-10,0,"Measured",8.9,"Measured",-5,"Measured"
"164",1962-11-11,0,"Measured",7.2,"Measured",-2.2,"Measured"
"165",1962-11-12,0,"Measured",9.4,"Measured",0,"Measured"
"166",1962-11-13,0,"Measured",10,"Measured",-3.3,"Measured"
"167",1962-11-14,0,"Measured",15,"Measured",-2.8,"Measured"
"168",1962-11-15,0,"Measured",9.4,"Measured",0.6,"Measured"
"169",1962-11-16,0,"Measured",7.8,"Measured",2.2,"Measured"
"170",1962-11-17,3.8,"Measured",7.2,"Measured",-1.1,"Measured"
"171",1962-11-18,0,"Measured",1.1,"Measured",-2.2,"Measured"
"172",1962-11-19,0,"Measured",0.6,"Measured",-6.7,"Measured"
"173",1962-11-20,0,"Measured",8.3,"Measured",-0.6,"Measured"
"174",1962-11-21,0.3,"Measured",8.9,"Measured",0,"Measured"
"175",1962-11-22,0,"Measured",3.9,"Measured",-8.3,"Measured"
"176",1962-11-23,0.3,"Measured",3.9,"Measured",-8.3,"Measured"
"177",1962-11-24,0,"Measured",3.3,"Measured",-7.8,"Measured"
"178",1962-11-25,0,"Measured",7.2,"Measured",-6.1,"Measured"
"179",1962-11-26,0,"Measured",10,"Measured",-3.3,"Measured"
"180",1962-11-27,0,"Measured",8.9,"Measured",-2.2,"Measured"
"181",1962-11-28,0,"Measured",10,"Measured",-5,"Measured"
"182",1962-11-29,0,"Measured",15,"Measured",-1.7,"Measured"
"183",1962-11-30,0,"Measured",14.4,"Measured",-1.1,"Measured"
"184",1962-12-01,0,"Measured",15,"Measured",1.1,"Measured"
"185",1962-12-02,0,"Measured",17.2,"Measured",0.6,"Measured"
"186",1962-12-03,0,"Measured",16.7,"Measured",2.2,"Measured"
"187",1962-12-04,11.7,"Measured",8.9,"Measured",2.2,"Measured"
"188",1962-12-05,0.3,"Measured",3.3,"Measured",-5,"Measured"
"189",1962-12-06,0,"Measured",-3.9,"Measured",-10.6,"Measured"
"190",1962-12-07,0,"Measured",-1.1,"Measured",-6.7,"Measured"
"191",1962-12-08,0.3,"Measured",-1.7,"Measured",-7.8,"Measured"
"192",1962-12-09,0.5,"Measured",-6.7,"Measured",-11.7,"Measured"
"193",1962-12-10,0,"Measured",-7.2,"Measured",-16.7,"Measured"
"194",1962-12-11,0,"Measured",-11.7,"Measured",-21.1,"Measured"
"195",1962-12-12,0,"Measured",-13.9,"Measured",-23.9,"Measured"
"196",1962-12-13,0.3,"Measured",-7.2,"Measured",-21.1,"Measured"
"197",1962-12-14,0,"Measured",-4.4,"Measured",-17.8,"Measured"
"198",1962-12-15,0,"Measured",-2.2,"Measured",-6.7,"Measured"
"199",1962-12-16,0,"Measured",0.6,"Measured",-6.1,"Measured"
"200",1962-12-17,0,"Measured",8.9,"Measured",-5,"Measured"
"201",1962-12-18,0,"Measured",5.6,"Measured",-2.2,"Measured"
"202",1962-12-19,0,"Measured",5,"Measured",-1.7,"Measured"
"203",1962-12-20,0,"Measured",0,"Measured",-7.2,"Measured"
"204",1962-12-21,0,"Measured",-2.2,"Measured",-9.4,"Measured"
"205",1962-12-22,0.5,"Measured",1.1,"Measured",-5.6,"Measured"
"206",1962-12-23,0,"Measured",0,"Measured",-16.7,"Measured"
"207",1962-12-24,0,"Measured",-10,"Measured",-23.3,"Measured"
"208",1962-12-25,6.4,"Measured",-7.2,"Measured",-11.7,"Measured"
"209",1962-12-26,0,"Measured",-8.9,"Measured",-28.3,"Measured"
"210",1962-12-27,0,"Measured",-5,"Measured",-25,"Measured"
"211",1962-12-28,0,"Measured",-1.7,"Measured",-16.7,"Measured"
"212",1962-12-29,0,"Measured",1.7,"Measured",-14.4,"Measured"
"213",1962-12-30,0,"Measured",-13.3,"Measured",-17.2,"Measured"
"214",1962-12-31,0,"Measured",-6.7,"Measured",-15.6,"Measured"
"215",1963-01-01,0,"Measured",-5.6,"Measured",-10.6,"Measured"
"216",1963-01-02,0,"Measured",-1.7,"Measured",-6.1,"Measured"
"217",1963-01-03,0,"Measured",-2.2,"Measured",-5,"Measured"
"218",1963-01-04,0,"Measured",-1.1,"Measured",-3.9,"Measured"
"219",1963-01-05,0,"Measured",-1.1,"Measured",-3.9,"Measured"
"220",1963-01-06,0,"Measured",-2.8,"Measured",-6.1,"Measured"
"221",1963-01-07,0,"Measured",0.6,"Measured",-6.7,"Measured"
"222",1963-01-08,0,"Measured",2.2,"Measured",-3.3,"Measured"
"223",1963-01-09,0,"Measured",2.2,"Measured",-1.7,"Measured"
"224",1963-01-10,0.8,"Measured",1.7,"Measured",-7.8,"Measured"
"225",1963-01-11,2.5,"Measured",-7.2,"Measured",-11.1,"Measured"
"226",1963-01-12,6.4,"Measured",-8.9,"Measured",-13.9,"Measured"
"227",1963-01-13,0,"Measured",-12.2,"Measured",-28.3,"Measured"
"228",1963-01-14,0,"Measured",-18.3,"Measured",-26.7,"Measured"
"229",1963-01-15,0,"Measured",-21.1,"Measured",-34.4,"Measured"
"230",1963-01-16,0,"Measured",-12.2,"Measured",-30,"Measured"
"231",1963-01-17,0,"Measured",-10,"Measured",-23.3,"Measured"
"232",1963-01-18,0,"Measured",-9.4,"Measured",-16.7,"Measured"
"233",1963-01-19,1,"Measured",-16.7,"Measured",-21.7,"Measured"
"234",1963-01-20,0,"Measured",-17.8,"Measured",-28.3,"Measured"
"235",1963-01-21,0,"Measured",-20.6,"Measured",-30.6,"Measured"
"236",1963-01-22,1.3,"Measured",-16.1,"Measured",-21.1,"Measured"
"237",1963-01-23,0,"Measured",-20.6,"Measured",-33.3,"Measured"
"238",1963-01-24,0,"Measured",-16.1,"Measured",-26.7,"Measured"
"239",1963-01-25,0,"Measured",-13.9,"Measured",-27.2,"Measured"
"240",1963-01-26,0,"Measured",-15,"Measured",-24.4,"Measured"
"241",1963-01-27,0,"Measured",-16.1,"Measured",-21.7,"Measured"
"242",1963-01-28,0,"Measured",-13.3,"Measured",-27.2,"Measured"
"243",1963-01-29,0,"Measured",-11.1,"Measured",-18.9,"Measured"
"244",1963-01-30,0,"Measured",-12.2,"Measured",-20.6,"Measured"
"245",1963-01-31,0,"Measured",-11.1,"Measured",-25.6,"Measured"
"246",1963-02-01,2.5,"Measured",-4.4,"Measured",-12.8,"Measured"
"247",1963-02-02,0,"Measured",1.7,"Measured",-20,"Measured"
"248",1963-02-03,0,"Measured",-15.6,"Measured",-23.9,"Measured"
"249",1963-02-04,0.8,"Measured",3.9,"Measured",-15.6,"Measured"
"250",1963-02-05,0.3,"Measured",1.1,"Measured",-10,"Measured"
"251",1963-02-06,0,"Measured",3.9,"Measured",-6.1,"Measured"
"252",1963-02-07,0,"Measured",2.8,"Measured",-4.4,"Measured"
"253",1963-02-08,0,"Measured",-4.4,"Measured",-12.2,"Measured"
"254",1963-02-09,0.3,"Measured",-3.9,"Measured",-11.1,"Measured"
"255",1963-02-10,2.5,"Measured",-5,"Measured",-8.9,"Measured"
"256",1963-02-11,0.3,"Measured",-6.7,"Measured",-14.4,"Measured"
"257",1963-02-12,0,"Measured",-5.6,"Measured",-19.4,"Measured"
"258",1963-02-13,0.3,"Measured",-5.6,"Measured",-16.7,"Measured"
"259",1963-02-14,0,"Measured",-6.1,"Measured",-17.2,"Measured"
"260",1963-02-15,0,"Measured",-10.6,"Measured",-22.2,"Measured"
"261",1963-02-16,0,"Measured",-3.9,"Measured",-17.2,"Measured"
"262",1963-02-17,0.3,"Measured",1.7,"Measured",-7.8,"Measured"
"263",1963-02-18,0.3,"Measured",2.8,"Measured",-5.6,"Measured"
"264",1963-02-19,0.3,"Measured",1.1,"Measured",-10,"Measured"
"265",1963-02-20,0,"Measured",-1.7,"Measured",-18.3,"Measured"
"266",1963-02-21,0,"Measured",-18.3,"Measured",-26.7,"Measured"
"267",1963-02-22,0,"Measured",-10,"Measured",-23.3,"Measured"
"268",1963-02-23,0,"Measured",-5.6,"Measured",-18.3,"Measured"
"269",1963-02-24,0,"Measured",-3.3,"Measured",-16.7,"Measured"
"270",1963-02-25,0,"Measured",-5.6,"Measured",-18.9,"Measured"
"271",1963-02-26,0,"Measured",-9.4,"Measured",-22.2,"Measured"
"272",1963-02-27,6.6,"Measured",-5.6,"Measured",-15.6,"Measured"
"273",1963-02-28,0,"Measured",-2.8,"Measured",-15,"Measured"
"274",1963-03-01,0,"Measured",-1.1,"Measured",-20.6,"Measured"
"275",1963-03-02,1,"Measured",2.8,"Measured",-7.2,"Measured"
"276",1963-03-03,0,"Measured",3.3,"Measured",-11.7,"Measured"
"277",1963-03-04,2.3,"Measured",1.7,"Measured",-1.1,"Measured"
"278",1963-03-05,7.6,"Measured",-0.6,"Measured",-7.8,"Measured"
"279",1963-03-06,15.7,"Measured",1.7,"Measured",-5,"Measured"
"280",1963-03-07,0.3,"Measured",1.1,"Measured",-9.4,"Measured"
"281",1963-03-08,0.3,"Measured",2.8,"Measured",-10.6,"Measured"
"282",1963-03-09,0.3,"Measured",0,"Measured",-18.9,"Measured"
"283",1963-03-10,0,"Measured",-0.6,"Measured",-12.8,"Measured"
"284",1963-03-11,0.5,"Measured",0.6,"Measured",-10,"Measured"
"285",1963-03-12,0.3,"Measured",2.2,"Measured",-1.1,"Measured"
"286",1963-03-13,0,"Measured",1.1,"Measured",-3.9,"Measured"
"287",1963-03-14,0,"Measured",1.7,"Measured",-7.8,"Measured"
"288",1963-03-15,0,"Measured",2.8,"Measured",-9.4,"Measured"
"289",1963-03-16,11.9,"Measured",3.9,"Measured",0.6,"Measured"
"290",1963-03-17,0,"Measured",6.7,"Measured",3.3,"Measured"
"291",1963-03-18,0,"Measured",3.3,"Measured",-5,"Measured"
"292",1963-03-19,12.2,"Measured",1.1,"Measured",-4.4,"Measured"
"293",1963-03-20,3,"Measured",0.6,"Measured",-5,"Measured"
"294",1963-03-21,0,"Measured",0.6,"Measured",-13.3,"Measured"
"295",1963-03-22,0,"Measured",5,"Measured",-8.3,"Measured"
"296",1963-03-23,0,"Measured",16.7,"Measured",-1.7,"Measured"
"297",1963-03-24,0,"Measured",18.3,"Measured",3.3,"Measured"
"298",1963-03-25,0.3,"Measured",16.1,"Measured",5,"Measured"
"299",1963-03-26,3,"Measured",12.8,"Measured",-0.6,"Measured"
"300",1963-03-27,0,"Measured",16.7,"Measured",0,"Measured"
"301",1963-03-28,0.3,"Measured",15,"Measured",-1.7,"Measured"
"302",1963-03-29,0,"Measured",21.1,"Measured",4.4,"Measured"
"303",1963-03-30,0,"Measured",23.3,"Measured",4.4,"Measured"
"304",1963-03-31,0,"Measured",18.3,"Measured",1.7,"Measured"
"305",1963-04-01,0.5,"Measured",18.3,"Measured",8.3,"Measured"
"306",1963-04-02,0,"Measured",26.1,"Measured",10,"Measured"
"307",1963-04-03,0,"Measured",22.2,"Measured",3.9,"Measured"
"308",1963-04-04,0,"Measured",10.6,"Measured",-4.4,"Measured"
"309",1963-04-05,0,"Measured",15,"Measured",-2.8,"Measured"
"310",1963-04-06,0,"Measured",18.3,"Measured",1.7,"Measured"
"311",1963-04-07,0,"Measured",17.8,"Measured",0,"Measured"
"312",1963-04-08,7.9,"Measured",8.9,"Measured",2.2,"Measured"
"313",1963-04-09,0,"Measured",7.8,"Measured",-3.3,"Measured"
"314",1963-04-10,0,"Measured",8.3,"Measured",-5.6,"Measured"
"315",1963-04-11,0,"Measured",12.2,"Measured",-2.2,"Measured"
"316",1963-04-12,0.3,"Measured",12.8,"Measured",-2.8,"Measured"
"317",1963-04-13,0,"Measured",12.8,"Measured",3.3,"Measured"
"318",1963-04-14,0,"Measured",17.2,"Measured",0.6,"Measured"
"319",1963-04-15,0,"Measured",22.2,"Measured",1.7,"Measured"
"320",1963-04-16,4.3,"Measured",23.9,"Measured",8.9,"Measured"
"321",1963-04-17,0,"Measured",24.4,"Measured",11.1,"Measured"
"322",1963-04-18,1.3,"Measured",18.3,"Measured",-1.7,"Measured"
"323",1963-04-19,13.7,"Measured",20,"Measured",1.7,"Measured"
"324",1963-04-20,0,"Measured",18.9,"Measured",3.9,"Measured"
"325",1963-04-21,0,"Measured",16.7,"Measured",0,"Measured"
"326",1963-04-22,7.6,"Measured",10,"Measured",-0.6,"Measured"
"327",1963-04-23,3.3,"Measured",6.1,"Measured",-0.6,"Measured"
"328",1963-04-24,0,"Measured",12.2,"Measured",-1.7,"Measured"
"329",1963-04-25,5.3,"Measured",12.2,"Measured",5,"Measured"
"330",1963-04-26,4.1,"Measured",19.4,"Measured",3.3,"Measured"
"331",1963-04-27,0,"Measured",20.6,"Measured",6.1,"Measured"
"332",1963-04-28,0,"Measured",20,"Measured",9.4,"Measured"
"333",1963-04-29,7.4,"Measured",21.1,"Measured",8.9,"Measured"
"334",1963-04-30,0.3,"Measured",20,"Measured",0,"Measured"
"335",1963-05-01,0,"Measured",15,"Measured",-1.7,"Measured"
"336",1963-05-02,0,"Measured",20.6,"Measured",5.6,"Measured"
"337",1963-05-03,0.5,"Measured",23.3,"Measured",7.8,"Measured"
"338",1963-05-04,2.8,"Measured",21.7,"Measured",10,"Measured"
"339",1963-05-05,0,"Measured",15.6,"Measured",2.2,"Measured"
"340",1963-05-06,0,"Measured",21.7,"Measured",3.9,"Measured"
"341",1963-05-07,0,"Measured",26.7,"Measured",7.8,"Measured"
"342",1963-05-08,0,"Measured",28.3,"Measured",18.3,"Measured"
"343",1963-05-09,41.4,"Measured",26.7,"Measured",15.6,"Measured"
"344",1963-05-10,17.8,"Measured",15.6,"Measured",4.4,"Measured"
"345",1963-05-11,0,"Measured",12.8,"Measured",2.8,"Measured"
"346",1963-05-12,0.3,"Measured",13.9,"Measured",4.4,"Measured"
"347",1963-05-13,1.8,"Measured",21.7,"Measured",7.8,"Measured"
"348",1963-05-14,0,"Measured",20.6,"Measured",8.9,"Measured"
"349",1963-05-15,0,"Measured",16.7,"Measured",3.3,"Measured"
"350",1963-05-16,0,"Measured",19.4,"Measured",3.3,"Measured"
"351",1963-05-17,0,"Measured",20.6,"Measured",7.2,"Measured"
"352",1963-05-18,0,"Measured",18.3,"Measured",7.8,"Measured"
"353",1963-05-19,0,"Measured",16.1,"Measured",5,"Measured"
"354",1963-05-20,0,"Measured",22.8,"Measured",1.7,"Measured"
"355",1963-05-21,5.6,"Measured",18.3,"Measured",3.3,"Measured"
"356",1963-05-22,0.5,"Measured",7.8,"Measured",0.6,"Measured"
"357",1963-05-23,0,"Measured",16.1,"Measured",-0.6,"Measured"
"358",1963-05-24,0,"Measured",19.4,"Measured",1.7,"Measured"
"359",1963-05-25,0,"Measured",21.7,"Measured",7.8,"Measured"
"360",1963-05-26,0,"Measured",23.9,"Measured",6.7,"Measured"
"361",1963-05-27,3.8,"Measured",20,"Measured",7.8,"Measured"
"362",1963-05-28,6.1,"Measured",16.7,"Measured",11.1,"Measured"
"363",1963-05-29,2.5,"Measured",20,"Measured",10,"Measured"
"364",1963-05-30,0,"Measured",23.9,"Measured",10,"Measured"
"365",1963-05-31,0,"Measured",26.1,"Measured",10,"Measured"
"366",1963-06-01,0,"Measured",27.8,"Measured",10,"Measured"
"367",1963-06-02,0,"Measured",30,"Measured",16.1,"Measured"
"368",1963-06-03,8.6,"Measured",29.4,"Measured",15.6,"Measured"
"369",1963-06-04,8.9,"Measured",29.4,"Measured",16.7,"Measured"
"370",1963-06-05,16.5,"Measured",28.9,"Measured",17.8,"Measured"
"371",1963-06-06,0,"Measured",30.6,"Measured",17.2,"Measured"
"372",1963-06-07,11.4,"Measured",31.7,"Measured",17.2,"Measured"
"373",1963-06-08,15.7,"Measured",29.4,"Measured",16.7,"Measured"
"374",1963-06-09,12.7,"Measured",28.9,"Measured",16.1,"Measured"
"375",1963-06-10,0,"Measured",28.9,"Measured",20,"Measured"
"376",1963-06-11,0,"Measured",21.1,"Measured",5,"Measured"
"377",1963-06-12,0,"Measured",20.6,"Measured",5.6,"Measured"
"378",1963-06-13,18.8,"Measured",27.2,"Measured",11.7,"Measured"
