Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
2036,2467,7367,132,384,2372,504,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2037,2513,7193,132,417,2413,558,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2038,2461,7249,132,416,2439,529,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2039,2529,7219,132,437,2395,514,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2040,2466,6643,185,393,2325,819,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2041,2426,6596,185,380,2368,876,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2042,2444,6754,185,391,2237,820,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2043,2490,6699,185,353,2287,817,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2044,2418,6710,185,412,2352,754,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2045,2457,6638,185,386,2309,856,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2046,2481,6627,185,366,2386,786,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2047,2424,6682,185,410,2261,869,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2048,2496,6654,185,380,2290,826,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2049,2422,6714,185,396,2367,747,352,622,1161,2637,2846,1869,1586,1712,237,2063,28
2050,1086,1529,489,512,292,5624,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2051,1096,1506,489,489,310,5642,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2052,1077,1526,489,503,353,5584,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2053,1117,1489,489,489,254,5694,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2054,1054,1586,489,508,281,5614,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2055,1060,1537,489,525,281,5640,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2056,1136,1439,489,498,322,5648,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2057,1068,1489,489,497,277,5712,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2058,1104,1513,489,530,298,5598,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2059,1122,1503,489,488,279,5651,974,752,1336,2249,2862,3187,1738,2998,228,2063,25
2060,729,1238,495,557,188,5848,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2061,733,1230,495,555,188,5854,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2062,709,1202,495,533,184,5932,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2063,707,1296,495,563,203,5791,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2064,708,1241,495,564,204,5843,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2065,754,1235,495,532,181,5858,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2066,735,1203,495,569,186,5867,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2067,694,1220,495,512,196,5938,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2068,731,1233,495,543,182,5871,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2069,706,1240,495,527,194,5893,1087,826,1474,2028,2862,3349,1735,3212,225,2063,28
2070,728,1241,507,582,188,5848,1092,826,1475,2030,2858,3348,1689,3215,226,2063,28
