Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
1815,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1816,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1817,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1818,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1819,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1820,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1821,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1822,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1823,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1824,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1825,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1826,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1827,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1828,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1829,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1830,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1831,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1832,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1833,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1834,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1835,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1836,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1837,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1838,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1839,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1840,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1841,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1842,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1843,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1844,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1845,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1846,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1847,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1848,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1849,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1850,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1851,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1852,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1853,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1854,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1855,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1856,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1857,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1858,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1859,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1860,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1861,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1862,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1863,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1864,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1865,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1866,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1867,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1868,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1869,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1870,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1871,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1872,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1873,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1874,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1875,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1876,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1877,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1878,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1879,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1880,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1881,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1882,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1883,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1884,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1885,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1886,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1887,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1888,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1889,0,24086,0,0,0,0,0,0,0,0,0,0,0,1559,236,2063,0
1890,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1891,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1892,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1893,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1894,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1895,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1896,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1897,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1898,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1899,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1900,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1901,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1902,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1903,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1904,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1905,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1906,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1907,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1908,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1909,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1910,0,23839,0,0,0,0,0,45,80,116,6,0,0,1559,236,2063,0
1911,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1912,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1913,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1914,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1915,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1916,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1917,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1918,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1919,0,23533,0,0,0,0,0,60,152,308,33,0,0,1559,236,2063,0
1920,3854,13198,7,475,2163,0,170,63,154,306,34,1875,1482,1778,292,2063,30
1921,3633,13450,32,388,2330,0,154,63,154,307,36,1856,1404,1753,292,2063,29
1922,2529,14607,71,389,2616,4,219,62,137,325,41,1666,1362,1559,236,2063,58
1923,3155,13916,9,525,2348,0,135,64,156,309,37,1985,1118,1792,288,2063,44
1924,2776,14600,9,491,2159,14,120,64,156,309,37,1979,1075,1760,289,2063,43
1925,2764,14195,34,625,2394,15,131,64,156,309,37,1970,1083,1779,281,2063,44
1926,2873,13754,22,552,2784,32,116,64,156,309,37,2009,1076,1767,283,2063,47
1927,3854,13196,7,475,2163,0,170,63,154,311,38,1872,1480,1776,292,2063,30
1928,3633,13450,32,388,2330,0,154,63,154,311,38,1853,1403,1751,292,2063,29
1929,2529,14221,71,389,2616,4,219,84,176,558,134,1665,1362,1559,236,2063,58
1930,3155,13535,9,525,2348,0,135,86,196,538,133,1979,1118,1792,288,2063,44
1931,2775,14219,9,491,2159,14,120,86,196,538,133,1974,1075,1760,289,2063,43
1932,2763,13814,34,625,2394,15,131,86,196,537,134,1965,1083,1779,281,2063,44
1933,2872,13373,22,552,2784,32,116,86,196,537,134,2004,1076,1767,283,2063,47
1934,3854,12817,7,475,2163,0,170,85,195,534,139,1867,1477,1776,292,2063,30
1935,3633,13071,32,387,2330,0,154,85,195,534,139,1848,1401,1751,292,2063,29
1936,2529,14221,71,389,2616,4,219,84,176,558,135,1664,1362,1559,236,2063,58
1937,3155,13535,9,525,2348,0,135,86,196,538,133,1979,1118,1792,288,2063,44
1938,2775,14219,9,491,2159,14,120,86,196,538,133,1974,1075,1760,289,2063,43
1939,2763,13814,34,625,2394,15,131,86,196,537,134,1965,1083,1779,281,2063,44
1940,2872,13373,22,552,2784,32,116,86,196,537,134,2004,1076,1767,283,2063,47
1941,3854,12817,7,475,2163,0,170,85,195,534,139,1867,1477,1776,292,2063,30
1942,3633,13071,32,387,2330,0,154,85,195,534,139,1848,1401,1751,292,2063,29
1943,2529,14221,71,389,2616,4,219,84,176,558,135,1664,1362,1559,236,2063,58
1944,3155,13535,9,525,2348,0,135,86,196,538,133,1979,1118,1792,288,2063,44
1945,2775,14219,9,491,2159,14,120,86,196,538,133,1974,1075,1760,289,2063,43
1946,2763,13814,34,625,2394,15,131,86,196,537,134,1965,1083,1779,281,2063,44
1947,2872,13373,22,552,2784,32,116,86,196,537,134,2004,1076,1767,283,2063,47
1948,3854,12817,7,475,2163,0,170,85,195,534,139,1867,1477,1776,292,2063,30
1949,3633,13071,32,387,2330,0,154,85,195,534,139,1848,1401,1751,292,2063,29
1950,2529,14221,71,389,2616,4,219,84,176,558,135,1664,1362,1559,236,2063,58
1951,3155,13535,9,525,2348,0,135,86,196,538,133,1979,1118,1792,288,2063,44
1952,2775,14219,9,491,2159,14,120,86,196,538,133,1974,1075,1760,289,2063,43
1953,2763,13142,34,625,2394,15,131,132,295,888,310,1965,1083,1779,281,2063,44
1954,2872,12700,22,552,2784,32,116,133,295,888,310,2004,1076,1767,283,2063,47
1955,3853,12151,7,475,2163,0,170,129,282,894,325,1867,1468,1775,292,2063,30
1956,3632,12401,32,387,2330,0,154,129,282,897,324,1848,1394,1750,292,2063,29
1957,2529,13551,71,389,2615,4,219,122,246,943,323,1663,1353,1559,236,2063,58
1958,3153,12860,9,525,2348,0,135,133,295,893,313,1978,1116,1791,288,2063,44
1959,2774,13544,9,490,2158,14,120,133,296,891,315,1973,1073,1759,289,2063,43
1960,2761,13141,34,624,2393,15,131,133,296,891,315,1964,1080,1778,281,2063,44
1961,2870,12697,22,552,2784,32,116,133,296,891,315,2003,1074,1766,283,2063,47
1962,3851,11248,7,475,2162,0,170,200,423,1419,496,1867,1466,1775,292,2063,30
1963,3631,11493,32,387,2330,0,154,200,423,1424,498,1847,1393,1749,291,2063,29
1964,2528,12637,71,389,2613,4,219,184,398,1470,516,1651,1348,1559,236,2063,58
1965,3147,11949,9,525,2347,0,135,203,440,1438,498,1958,1110,1790,288,2063,44
1966,2767,12634,9,490,2158,14,120,203,441,1439,496,1954,1068,1758,287,2063,43
1967,2756,12229,34,623,2393,15,131,203,441,1437,498,1944,1075,1777,281,2063,44
1968,2864,11790,22,552,2781,32,116,203,441,1438,497,1982,1069,1765,282,2063,47
1969,3847,11244,7,475,2160,0,170,201,424,1436,518,1846,1457,1775,291,2063,30
1970,3628,11490,32,387,2330,0,154,201,424,1436,518,1828,1385,1749,290,2063,29
1971,2528,12635,71,389,2613,4,219,184,398,1476,521,1645,1345,1559,236,2063,58
1972,3147,11949,9,525,2347,0,135,203,440,1438,498,1958,1110,1790,288,2063,44
1973,2767,12065,9,490,2158,14,120,225,507,1769,647,1954,1068,1758,287,2063,43
1974,2754,11660,34,623,2393,15,131,225,508,1766,653,1943,1075,1776,281,2063,44
1975,2863,11215,22,551,2781,32,116,225,508,1768,655,1982,1069,1765,282,2063,47
1976,3845,10650,7,475,2159,0,170,224,489,1744,730,1844,1450,1773,291,2063,30
1977,3626,10900,32,385,2327,0,154,225,489,1743,732,1825,1378,1746,290,2063,29
1978,2524,12034,71,385,2611,4,219,206,457,1806,738,1633,1340,1559,236,2063,58
1979,3139,11365,9,523,2343,0,135,225,507,1776,699,1931,1107,1790,288,2063,44
1980,2760,12046,9,487,2158,14,120,225,508,1780,694,1928,1065,1757,287,2063,43
1981,2751,11091,34,622,2386,15,131,256,562,2008,938,1916,1070,1776,281,2063,44
1982,2860,10643,22,549,2780,32,116,256,562,2010,938,1955,1064,1765,282,2063,47
1983,3833,10082,7,474,2158,0,170,255,543,1972,1025,1830,1439,1772,291,2063,30
1984,3615,10325,32,385,2326,0,154,256,543,1974,1029,1810,1368,1745,290,2063,29
1985,2521,11458,71,385,2598,4,218,239,504,2040,1039,1618,1333,1559,236,2063,58
1986,3127,10801,9,521,2341,0,135,259,561,2013,991,1900,1103,1788,288,2063,44
1987,2747,11485,9,485,2152,14,120,258,562,2020,984,1899,1061,1755,287,2063,43
1988,2743,11079,34,620,2384,15,130,258,562,2013,991,1886,1066,1775,281,2063,44
1989,2852,10635,22,548,2774,32,115,258,562,2015,989,1926,1060,1764,282,2063,47
1990,3827,10081,7,474,2156,0,170,257,543,1976,1048,1815,1436,1770,291,2063,30
1991,3610,10324,32,385,2326,0,154,258,543,1976,1047,1798,1365,1744,290,2063,29
1992,2520,10821,71,385,2598,4,218,298,630,2326,1206,1618,1333,1559,236,2063,58
1993,3126,10157,9,521,2341,0,135,331,716,2236,1190,1897,1103,1787,288,2063,44
1994,2746,10840,9,485,2152,14,120,330,719,2235,1189,1897,1061,1754,287,2063,43
1995,2742,10433,34,620,2384,15,130,330,718,2235,1191,1884,1066,1774,281,2063,44
1996,2852,9989,22,547,2774,32,115,330,717,2237,1190,1924,1060,1763,282,2063,47
1997,3826,9440,7,474,2156,0,170,322,681,2248,1225,1811,1431,1769,291,2063,30
1998,3607,9684,32,385,2325,0,154,322,683,2250,1222,1794,1361,1743,290,2063,29
1999,2519,10818,71,385,2597,4,218,300,635,2328,1214,1612,1327,1559,236,2063,58
2000,3126,10156,9,521,2341,0,135,331,717,2237,1192,1895,1102,1787,288,2063,44
2001,4316,6415,2,4,3328,0,132,330,807,2693,2223,2394,1326,1810,66,2063,35
2002,4316,6415,2,4,3328,0,132,330,807,2693,2223,2394,1326,1810,66,2063,35
2003,4316,6415,2,4,3328,0,132,330,807,2693,2223,2394,1326,1810,66,2063,35
2004,4147,7233,5,10,2866,0,109,334,832,2758,2154,2083,1413,1770,133,2063,34
2005,5400,5788,1,7,2500,0,143,322,741,2597,2538,2066,1733,1915,115,2063,15
2006,3287,7786,24,438,2999,0,127,376,1005,2771,2110,1867,1252,1556,254,2063,29
2007,2674,9019,24,528,2111,0,70,377,1012,2792,2133,1956,1236,1624,286,2063,39
2008,3860,7319,7,476,2166,0,171,369,999,2753,2356,1904,1513,1693,265,2063,30
2009,3640,7585,32,388,2337,0,154,374,1008,2777,2329,1883,1446,1642,257,2063,29
2010,2529,8527,71,389,2617,4,219,331,832,2914,2565,1667,1363,1559,236,2063,58
2011,3162,7984,9,525,2350,0,135,398,1106,2870,2163,2019,1122,1743,251,2063,44
2012,2781,8798,9,492,2163,14,121,396,1103,2865,2064,2013,1079,1676,264,2063,43
2013,2773,8267,34,625,2397,15,131,395,1106,2861,2193,1999,1089,1717,235,2063,44
2014,2875,7829,22,553,2789,32,116,396,1105,2868,2182,2042,1082,1689,254,2063,47
