Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
2053,641,7607,1147,252,2412,314,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2054,655,7448,1147,236,2569,318,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2055,647,7531,1147,243,2491,314,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2056,650,7521,1147,254,2474,327,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2057,634,7436,1147,279,2534,343,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2058,646,7551,1147,256,2459,314,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2059,629,7578,1147,222,2463,334,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2060,399,7613,1418,219,2481,87,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2061,442,7519,1418,220,2520,98,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2062,388,7575,1418,223,2531,82,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2063,381,7655,1418,208,2464,91,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2064,432,7600,1418,247,2451,69,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2065,399,7715,1418,197,2394,94,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2066,410,7706,1418,221,2377,85,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2067,383,7613,1418,219,2490,94,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2068,416,7639,1418,201,2474,69,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2069,415,7557,1418,231,2509,87,138,1155,2565,3017,2795,1544,724,1474,224,2063,28
2070,412,7673,1410,200,2439,53,134,1179,2610,3084,2784,1520,671,1464,221,2063,27
