Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
2046,1739,3571,1667,605,1253,994,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2047,1781,3492,1667,602,1186,1101,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2048,1716,3508,1667,601,1297,1040,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2049,1728,3561,1667,602,1268,1003,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2050,1403,2518,2450,905,1063,1341,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2051,1399,2473,2450,902,1078,1378,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2052,1388,2574,2450,853,1067,1348,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2053,1394,2527,2450,852,1064,1393,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2054,1422,2508,2450,913,1030,1357,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2055,1365,2506,2450,940,1098,1321,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2056,1378,2472,2450,942,1071,1367,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2057,1382,2506,2450,956,1029,1357,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2058,1483,2409,2450,889,1045,1404,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2059,1396,2572,2450,877,1077,1308,3690,786,1867,1654,1556,1998,2015,2371,234,2063,30
2060,1098,2129,3354,952,898,1638,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2061,1170,2139,3354,954,882,1570,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2062,1072,2084,3354,958,909,1692,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2063,1104,2162,3354,931,905,1613,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2064,1115,2155,3354,910,900,1635,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2065,1133,2071,3354,960,910,1641,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2066,1065,2096,3354,972,893,1689,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2067,1078,2136,3354,966,927,1608,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2068,1116,2120,3354,951,886,1642,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2069,1072,2147,3354,952,906,1638,3844,930,1842,1169,1237,2033,2134,2357,236,2063,30
2070,1043,1953,3417,1039,790,1748,4008,973,1826,1145,1154,2027,2089,2408,233,2063,28
